Date_Time,Organization,Name,Group_,Group_Type,TimeZone,timezone-description,Electricity_Consumed,Unit,value,period
2021-07-22,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Central,Central,30850,megawatthours,30850,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Eastern,Eastern,30750,megawatthours,30750,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Mountain,Mountain,30956,megawatthours,30956,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Pacific,Pacific,31054,megawatthours,31054,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,NG,Net generation,Arizona,Arizona,18374,megawatthours,18374,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,NG,Net generation,Central,Central,18403,megawatthours,18403,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,NG,Net generation,Eastern,Eastern,18336,megawatthours,18336,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,NG,Net generation,Mountain,Mountain,18380,megawatthours,18380,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,NG,Net generation,Pacific,Pacific,18374,megawatthours,18374,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Arizona,Arizona,1552,megawatthours,1552,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Central,Central,1682,megawatthours,1682,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Eastern,Eastern,1663,megawatthours,1663,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Mountain,Mountain,1612,megawatthours,1612,2021-07-22
2021-07-22,AEC,PowerSouth Energy Cooperative,TI,Total interchange,Pacific,Pacific,1552,megawatthours,1552,2021-07-22
2021-07-21,AEC,PowerSouth Energy Cooperative,D,Demand,Arizona,Arizona,15304,megawatthours,15304,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,D,Demand,Central,Central,15224,megawatthours,15224,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,D,Demand,Eastern,Eastern,15178,megawatthours,15178,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,D,Demand,Mountain,Mountain,15265,megawatthours,15265,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,D,Demand,Pacific,Pacific,15304,megawatthours,15304,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Arizona,Arizona,27914,megawatthours,27914,2021-07-21
2021-07-21,AEC,PowerSouth Energy Cooperative,DF,Day-ahead demand forecast,Central,Central,27763,megawatthours,27763,2021-07-21
